"","Lot Frontage","Lot Area","Year Built","Year Remod/Add","Mas Vnr Area","BsmtFin SF 1","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Gr Liv Area","Bsmt Full Bath","Bsmt Half Bath","Full Bath","Half Bath","Bedroom AbvGr","Kitchen AbvGr","TotRms AbvGrd","Fireplaces","Garage Yr Blt","Garage Cars","Garage Area","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Pool Area","Misc Val","Mo Sold","Yr Sold","Longitude","Latitude","MS SubClass","MS Zoning","Street","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Exter Qual","Exter Cond","Foundation","Bsmt Qual","Bsmt Cond","Bsmt Exposure","BsmtFin Type 1","BsmtFin Type 2","Heating","Heating QC","Central Air","Electrical","Kitchen Qual","Functional","Fireplace Qu","Garage Type","Garage Finish","Garage Qual","Garage Cond","Paved Drive","Sale Type","Sale Condition","SalePrice"
"1631",70,8400,1900,1950,0,0,0,917,917,1090,917,0,2007,0,0,2,0,3,1,8,0,1930,1,357,0,235,0,0,0,0,0,6,2009,-93.610588,42.029001,"070","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Artery","Norm","1Fam","2Story","6","7","Gable","CompShg","Stucco","BrkFace","None","TA","TA","BrkTil","Fa","Gd","Mn","Unf","Unf","GasA","Gd","Y","FuseA","Ex","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","160000"
"1632",35,6300,1914,2001,0,0,0,742,742,742,742,0,1484,0,0,2,0,3,1,9,1,1979,0,0,0,291,134,0,0,0,0,6,2008,-93.613845,42.02813,"075","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2.5Unf","6","6","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","None","None","None","None","Y","WD ","Normal","128000"
"1633",65,8850,1916,1950,0,0,0,815,815,815,875,0,1690,0,0,1,0,3,1,7,1,1916,1,225,0,0,330,0,0,0,0,7,2006,-93.615337,42.027953,"075","RM","Pave","IR1","Bnk","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Unf","7","6","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","ConLw","Normal","144000"
"1634",50,9000,1890,2002,0,0,0,346,346,1157,1111,0,2268,0,0,3,0,3,1,7,0,2003,2,624,0,108,0,0,0,0,0,4,2010,-93.61221,42.028145,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","8","9","Gable","CompShg","Wd Sdng","Wd Sdng","None","Gd","Gd","Stone","Fa","Fa","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Detchd","Unf","TA","TA","N","WD ","Normal","240000"
"1635",60,3600,1910,1993,0,0,0,684,684,684,684,0,1368,0,0,1,0,3,1,7,0,1930,1,216,0,158,0,0,0,0,0,10,2006,-93.6127958,42.0281148,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","6","7","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Ex","N","FuseA","TA","Typ","None","Detchd","Unf","TA","Fa","N","WD ","Normal","114504"
"1636",60,3600,1917,2007,0,0,0,624,624,664,624,0,1288,1,0,1,0,3,1,5,1,1917,1,280,0,103,0,0,0,0,0,5,2009,-93.6130761,42.0281106,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","6","7","Gable","CompShg","Stucco","Stucco","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Unf","TA","TA","N","WD ","Normal","119000"
"1637",60,7200,1920,1950,0,0,0,596,596,998,764,0,1762,1,0,1,1,4,1,8,0,1989,2,576,36,0,221,0,0,0,0,10,2006,-93.613763,42.027953,"070","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story","7","7","Hip","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","Fa","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Detchd","Unf","TA","TA","N","WD ","Normal","157000"
"1638",50,5250,1872,1987,0,259,0,425,684,938,1215,205,2358,0,0,2,0,4,1,8,0,1979,0,0,0,54,20,0,0,0,0,12,2008,-93.6096888,42.0288284,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","BrkTil","TA","Fa","No","LwQ","Unf","OthW","Fa","N","SBrkr","TA","Typ","None","None","None","None","None","Y","WD ","Normal","122000"
"1639",121,17671,1882,1986,0,216,0,700,916,916,826,0,1742,0,0,1,1,4,1,8,1,1925,2,424,0,169,0,0,0,0,0,11,2009,-93.610582,42.028104,"070","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Artery","Norm","1Fam","2Story","8","9","Gable","CompShg","Wd Sdng","Wd Sdng","None","Gd","Gd","BrkTil","TA","TA","No","BLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Gd","Attchd","Unf","TA","TA","P","WD ","Normal","168000"
"1640",75,13500,1879,1987,0,0,0,819,819,1312,1142,0,2454,0,0,2,0,3,1,8,1,1950,2,576,0,148,150,0,0,0,0,2,2007,-93.612061,42.02819,"075","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Unf","7","8","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","Gd","PConc","TA","TA","No","Unf","Unf","GasA","TA","Y","FuseA","TA","Typ","Gd","Attchd","Unf","TA","TA","N","WD ","Normal","185000"
"1641",68,3300,1910,1950,0,0,0,624,624,816,0,0,816,0,0,1,0,2,1,5,1,1979,0,0,0,33,0,0,0,0,0,6,2009,-93.6148612,42.0276972,"030","C (all)","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","4","3","Gable","CompShg","Stucco","Stucco","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","None","None","None","None","N","WD ","Normal","58500"
"1642",60,7200,1910,1998,0,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,1900,2,506,0,0,0,0,99,0,0,11,2007,-93.612191,42.027154,"190","C (all)","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","2fmCon","2.5Unf","6","6","Hip","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","Fa","Mn","Rec","Unf","GasW","Ex","N","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","WD ","Normal","133900"
"1643",84,11340,1923,1950,0,0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1923,1,312,0,0,228,0,0,0,0,3,2006,-93.608901,42.028963,"030","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1Story","6","5","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","Y","FuseA","TA","Typ","None","Detchd","Unf","Fa","Fa","Y","WD ","Family","125000"
"1644",90,22950,1892,1993,0,0,0,1107,1107,1518,1518,572,3608,0,0,2,1,4,1,12,2,1993,3,840,0,260,0,0,410,0,0,6,2006,-93.610438,42.029025,"075","RM","Pave","IR2","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","2.5Fin","10","9","Gable","WdShngl","Wd Sdng","Wd Sdng","None","Gd","Gd","BrkTil","TA","TA","Mn","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","TA","Detchd","Unf","Ex","TA","Y","WD ","Normal","475000"
"1645",68,5700,1926,1950,0,0,0,572,572,572,539,0,1111,0,0,1,0,2,1,5,1,1982,1,288,0,0,176,0,0,0,0,8,2008,-93.6096482,42.0287814,"050","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","7","7","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","WD ","Normal","116900"
"1646",40,5400,1926,2004,0,370,0,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,1926,1,216,0,0,183,0,0,0,0,10,2007,-93.608882,42.0282,"040","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1Story","6","7","Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","BrkTil","TA","TA","Mn","LwQ","Unf","GasA","Gd","Y","FuseA","Gd","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","152000"
"1647",100,9045,1910,1950,0,0,0,840,840,1128,1128,0,2256,0,0,2,0,4,2,12,0,1979,0,0,0,18,18,0,0,0,0,6,2010,-93.608878,42.028083,"190","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story","5","3","Gable","CompShg","MetalSd","MetalSd","None","TA","Fa","BrkTil","TA","TA","Mn","Unf","Unf","Grav","Fa","N","FuseF","Fa","Typ","None","None","None","None","None","N","WD ","Abnorml","76500"
"1648",33,5976,1920,1950,0,0,0,624,624,624,624,0,1248,0,0,2,0,2,2,8,0,1979,0,0,0,130,256,0,0,0,0,12,2006,-93.609665,42.027992,"090","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","Duplex","2Story","5","7","Hip","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","Gd","N","FuseA","TA","Typ","None","None","None","None","None","N","WD ","Normal","93500"
"1649",90,7407,1957,1996,0,600,0,312,912,1236,0,0,1236,1,0,1,0,2,1,6,0,1957,2,923,0,158,158,0,0,0,0,4,2010,-93.608246,42.03005,"020","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story","6","7","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","GLQ","Unf","GasA","TA","Y","FuseA","TA","Typ","None","Attchd","Unf","TA","TA","Y","WD ","Normal","149700"
"1650",60,7740,1910,1950,0,0,0,622,622,741,622,0,1363,0,0,1,0,3,1,6,0,1966,2,528,0,0,0,0,168,0,0,6,2010,-93.607238,42.028164,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","4","7","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","Fa","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","125500"
"1651",60,7200,1910,2006,0,247,465,310,1022,1022,0,0,1022,1,0,1,0,2,1,4,0,1956,1,280,0,30,226,0,0,0,0,6,2009,-93.6076506,42.0282044,"030","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","4","Hip","CompShg","MetalSd","Stucco","None","TA","TA","BrkTil","TA","TA","No","ALQ","Rec","GasW","TA","N","SBrkr","TA","Maj2","None","Detchd","Unf","TA","TA","Y","WD ","Normal","85000"
"1652",60,11340,1885,1950,0,0,0,777,777,1246,1044,0,2290,0,0,2,0,4,2,11,0,1971,2,560,0,0,114,0,0,0,0,4,2010,-93.608752,42.02916,"190","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story","4","6","Gable","CompShg","VinylSd","AsbShng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","N","WD ","Normal","122500"
"1653",60,11340,1920,1950,0,0,0,723,723,723,363,0,1086,0,0,1,0,2,1,5,0,1920,2,400,0,24,144,0,0,0,0,11,2008,-93.608752,42.029209,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","2","1","Gable","CompShg","AsbShng","AsbShng","None","Fa","Fa","BrkTil","Fa","Fa","No","Unf","Unf","GasA","TA","N","SBrkr","TA","Maj1","None","Detchd","Unf","Fa","Po","N","ConLD","Normal","55000"
"1654",60,10560,1922,1994,0,283,0,455,738,868,602,0,1470,0,0,1,1,2,1,6,0,1970,2,624,0,0,0,0,0,0,0,6,2010,-93.607088,42.028165,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","6","7","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","Fa","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr","TA","Min1","None","Detchd","Unf","TA","TA","Y","WD ","Normal","140750"
"1655",90,8100,1948,1973,0,338,0,1221,1559,1559,0,0,1559,1,0,1,0,2,1,5,0,1948,2,812,0,116,230,0,0,0,0,6,2007,-93.6094532,42.0277574,"030","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","6","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","BrkTil","TA","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr","TA","Min2","None","Detchd","Unf","TA","TA","Y","COD","Normal","153500"
"1656",60,10800,1890,1999,0,0,0,1313,1313,1313,1182,0,2495,0,0,2,0,5,1,10,1,1950,2,342,0,299,0,0,0,0,0,12,2008,-93.6075521,42.0273991,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","7","7","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","BrkTil","TA","TA","Mn","Unf","Unf","GasW","Gd","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","Fa","Y","WD ","Normal","184000"
"1657",98,8820,1890,1996,0,1088,0,0,1088,1188,561,120,1869,0,0,1,0,2,1,7,0,1963,2,456,48,0,244,0,0,0,0,9,2009,-93.608704,42.027062,"050","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","5","6","Hip","CompShg","VinylSd","VinylSd","None","TA","TA","BrkTil","TA","TA","No","LwQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","124900"
"1658",60,5400,1920,1950,0,0,0,972,972,1044,0,436,1480,0,0,1,0,3,1,6,0,1920,1,207,0,0,176,0,0,0,0,9,2009,-93.608707,42.0272,"050","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","6","6","Gable","CompShg","MetalSd","MetalSd","None","Fa","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","None","Detchd","Unf","Fa","TA","Y","ConLI","Family","119000"
"1659",65,9750,1959,1959,164,200,0,784,984,984,0,0,984,1,0,1,0,2,1,5,0,1959,1,308,0,0,0,0,0,0,0,6,2008,-93.6059697,42.0272517,"020","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","6","Gable","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr","Fa","Typ","None","Detchd","Unf","TA","TA","N","WD ","Normal","110000"
"1660",65,9750,1958,1958,0,0,0,960,960,960,0,0,960,0,0,1,0,3,1,5,0,2002,2,624,0,0,0,0,0,0,4500,7,2006,-93.606195,42.0272703,"020","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","5","Hip","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","125000"
"1661",60,9720,1910,2002,0,0,0,741,741,780,741,0,1521,0,0,1,0,4,1,8,0,1950,3,640,0,0,238,0,0,0,0,9,2009,-93.607058,42.027227,"070","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","6","7","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","146500"
"1662",81,12150,1954,1954,335,0,0,1050,1050,1050,745,0,1795,0,0,2,0,4,1,7,0,1954,1,352,0,0,0,0,0,0,0,11,2008,-93.606196,42.02774,"050","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","5","5","Gable","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","N","FuseF","TA","Typ","None","Attchd","Unf","Fa","TA","Y","WD ","Normal","131500"
"1663",60,10800,1890,1998,0,0,0,718,718,1576,978,0,2554,0,0,1,1,3,1,8,0,1996,2,704,0,48,143,0,0,0,0,7,2007,-93.608678,42.026089,"070","RM","Pave","Reg","Bnk","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","7","8","Gable","CompShg","Wd Sdng","VinylSd","None","TA","Gd","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","P","WD ","Normal","159500"
"1664",52,9439,1930,1950,0,324,0,588,912,912,336,0,1248,0,0,1,0,2,1,6,0,1957,1,160,0,0,192,0,0,0,0,3,2007,-93.6047622,42.0268089,"050","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","5","5","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","Gd","Y","FuseA","TA","Typ","None","Detchd","Unf","Fa","Fa","Y","WD ","Normal","87000"
"1665",70,12702,1956,1956,0,0,0,0,0,882,0,0,882,0,0,1,0,2,1,4,0,1956,1,308,0,45,0,0,0,0,0,12,2008,-93.604486,42.026691,"020","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","5","Gable","CompShg","BrkFace","BrkFace","None","TA","TA","PConc","None","None","None","None","None","GasA","Gd","Y","FuseA","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","97000"
"1666",52,8626,1956,1956,1,0,0,0,0,968,0,0,968,0,0,1,0,2,1,5,0,1956,1,331,0,0,0,0,0,0,0,5,2007,-93.6041765,42.0272605,"020","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","4","6","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","None","None","None","None","None","GasA","Gd","Y","SBrkr","TA","Typ","None","Attchd","Unf","Fa","TA","Y","WD ","Normal","104500"
"1667",52,8516,1958,2006,0,0,0,869,869,1093,0,0,1093,0,0,1,0,2,1,5,0,1959,1,308,0,0,0,0,0,0,0,5,2008,-93.6043548,42.0272664,"020","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","4","6","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","115500"
"1668",76,11800,1949,2002,0,0,0,0,0,1382,0,0,1382,0,0,2,0,1,1,6,1,1957,1,384,0,40,0,0,0,0,0,5,2007,-93.6051157,42.0272703,"080","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","SLvl","4","7","Gable","CompShg","Stucco","Wd Sdng","None","TA","TA","Slab","None","None","None","None","None","GasA","Ex","Y","SBrkr","TA","Mod","TA","Attchd","RFn","TA","TA","Y","WD ","Normal","110000"
"1669",63,4761,1918,1950,0,0,0,1020,1020,1020,0,0,1020,0,0,1,0,2,1,5,0,1979,0,0,0,0,105,0,0,0,0,10,2006,-93.606869,42.02297,"050","C (all)","Pave","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf","3","3","Gable","CompShg","Wd Sdng","Wd Sdng","None","Fa","Fa","BrkTil","TA","Fa","No","Unf","Unf","GasA","Fa","N","FuseP","Fa","Typ","None","None","None","None","None","N","ConLD","Normal","64500"
"1670",68,7446,1941,1950,0,266,0,522,788,788,0,0,788,0,0,1,0,2,1,4,2,1979,0,0,0,0,0,0,0,0,0,4,2006,-93.628478,42.03405,"030","RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Norm","1Fam","1Story","4","5","Gable","CompShg","WdShing","Wd Shng","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","TA","Y","FuseA","TA","Typ","TA","None","None","None","None","Y","WD ","Abnorml","100000"
"1671",144,21384,1923,2004,0,1309,0,15,1324,1072,504,0,1576,2,0,1,1,3,1,6,1,1923,2,528,0,312,0,0,0,0,0,5,2009,-93.6289369,42.033996,"070","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","2Story","5","6","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","WD ","Normal","223500"
"1672",68,6615,1923,1950,0,0,0,1022,1022,1432,0,0,1432,0,0,1,0,3,1,6,1,1923,1,216,266,61,0,0,0,0,0,9,2009,-93.628848,42.033558,"030","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story","6","6","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","N","FuseA","Gd","Typ","Gd","BuiltIn","Unf","Fa","TA","Y","WD ","Normal","149000"
"1673",55,7111,1928,1983,0,406,273,329,1008,1143,0,0,1143,0,0,1,0,2,1,5,1,1992,1,288,265,0,0,0,0,0,0,7,2008,-93.628806,42.03361,"030","RL","Pave","IR1","Bnk","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story","5","7","Gable","CompShg","WdShing","Wd Shng","None","Gd","Gd","BrkTil","TA","TA","No","LwQ","BLQ","GasA","TA","Y","SBrkr","TA","Typ","Po","Detchd","Unf","TA","TA","Y","WD ","Normal","138000"
"1674",55,7264,1925,2007,0,0,0,952,952,952,596,0,1548,0,0,2,1,3,1,5,0,1978,2,672,74,0,0,0,144,0,0,10,2009,-93.6279815,42.0333765,"050","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","7","7","Gable","CompShg","Wd Sdng","Wd Sdng","None","Gd","Gd","BrkTil","TA","TA","No","Unf","Unf","GasW","Gd","N","SBrkr","Ex","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","205000"
"1675",55,6854,1925,1994,0,317,227,212,756,916,144,0,1060,1,0,1,0,1,1,6,1,1969,1,308,0,65,0,0,150,0,0,8,2007,-93.6281873,42.033311,"040","RL","Pave","Reg","Bnk","AllPub","Inside","Mod","BrkSide","Norm","Norm","1Fam","1Story","5","7","Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","PConc","TA","TA","No","LwQ","Rec","GasA","TA","N","FuseA","TA","Mod","Gd","Detchd","Unf","Fa","TA","Y","WD ","Normal","136500"
"1676",65,6435,1939,1950,0,0,0,972,972,972,605,0,1577,0,0,1,0,3,1,6,1,1939,1,312,0,0,0,0,0,0,0,10,2006,-93.626022,42.03179,"050","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin","6","5","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","Fa","Typ","Gd","Detchd","Unf","TA","TA","Y","WD ","Normal","140200"
"1677",50,4960,1930,1982,0,0,0,297,297,1001,653,0,1654,0,0,2,0,3,1,7,1,1955,1,336,244,60,0,0,0,0,0,5,2009,-93.625968,42.031564,"070","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin","5","7","Gable","CompShg","WdShing","Wd Shng","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","N","WD ","Normal","137000"
"1678",68,7425,1945,1950,0,0,0,672,672,1195,473,0,1668,0,0,1,1,3,1,8,0,1945,1,252,210,0,0,0,0,0,0,8,2008,-93.6267116,42.0343116,"050","RM","Pave","IR1","Bnk","AllPub","Corner","Gtl","BrkSide","RRAn","Artery","1Fam","1.5Fin","7","7","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","Fa","No","Unf","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","None","Attchd","Unf","TA","TA","Y","WD ","Abnorml","108000"
"1679",55,8674,1950,1950,0,910,0,0,910,910,525,0,1435,1,0,1,0,3,1,6,0,1950,1,308,0,33,0,0,0,0,0,3,2007,-93.6262716,42.034339,"050","RM","Pave","Reg","HLS","AllPub","Inside","Gtl","BrkSide","RRNn","Artery","1Fam","1.5Fin","5","6","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","Fa","TA","No","Rec","Unf","GasA","TA","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","128250"
"1680",53,5830,1950,1997,0,788,0,200,988,1030,582,0,1612,0,0,1,1,3,1,7,0,1950,1,363,0,0,0,0,0,0,0,3,2010,-93.625737,42.033642,"050","RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Feedr","1Fam","1.5Fin","5","6","Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr","TA","Typ","None","Detchd","Unf","TA","TA","Y","WD ","Normal","128500"
"1681",50,9100,1930,1960,0,0,0,742,742,779,0,156,935,0,0,1,0,2,1,4,0,1988,1,308,0,0,0,0,0,0,600,8,2008,-93.625728,42.03338,"040","RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Feedr","1Fam","1Story","5","6","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","Y","FuseA","TA","Typ","None","Detchd","Unf","TA","TA","P","WD ","Normal","79500"
"1682",68,8854,1916,1950,0,0,0,952,952,952,0,0,952,0,0,1,0,2,1,4,1,1916,1,192,0,98,0,0,40,0,0,5,2009,-93.626116,42.031542,"030","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf","6","6","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Grav","Fa","N","FuseF","Fa","Typ","Gd","Detchd","Unf","Fa","Po","P","WD ","Normal","121000"
